㐂;匕
邋;丶丿乙⻌口川巛
邌;丿𠆢勹⻌木水禾
邎;丶丿⻌夕小幺糸言
邏;⻌糸幺小⺲隹
邐;一丶冂匕⻌广比鹿
邑;口巴
邕;乙口巛已⻏巴
邗;一十干⻏
邘;亅二⻏
邙;亠⻏亡
邛;工⻏
邠;ハ刀⻏
邡;⻏方
邢;一廾⻏
那;刀⻏二
邥;丿乙冖尢⻏
邦;丿二⻏
邨;屯⻏
邪;牙⻏
邯;甘⻏
邰;厶口⻏
邱;斤⻏
邲;丿⻏心
邳;一丨丶丿⻏
邴;一人冂⻏
邵;口刀⻏
邶;一丨匕⻏
邸;氏⻏
邽;土⻏
邾;一丿⻏木
郁;丿一月⻏
郃;一𠆢口⻏
郄;一丶丿厶⻏
郅;一厶土⻏至
郇;勹⻏日
郈;一厂口⻏
郊;父⻏亠
郌;乙口士已⻏巴
郎;艮⻏
郒;丶乙厶口已⻏日曰巴
郕;丿亅厂⻏戈
郗;一丨丶丿冂巾⻏
郘;口⻏
郙;丶十⻏月
郛;子爪⻏
郜;丨丿二口土⻏
郝;土⻏赤
郞;⻏艮
郟;人大⻏
郡;一口⻏丿
郢;王口⻏
郤;口谷ハ⻏𠆢
郥;ハ⻏目貝
部;口⻏立
郫;丿十⻏日白
郭;口⻏亅亠子
郯;⻏火
郰;又⻏耳
郲;人⻏木
郴;⻏木
郵;丨丿一⻏
郶;乙口已⻏巴立
郷;艮⻏幺
都;日⻏⺹
郾;匚女⻏日
郿;丨尸⻏目
鄀;一丿口⺾⻏
鄂;口二⻏
鄄;土⻏西
鄅;丿冂厶口⻏禸虫
鄆;冖⻏車
鄈;一丶丿大⻏
鄍;亠ハ冖⻏日曰
鄐;亠幺⻏玄田
鄒;⻏勹屮⺾
鄔;⻏⺣鳥
鄕;幺⻏艮
鄖;ハ口⻏目貝
鄗;亠冂口⻏高
鄘;丨二冂广ヨ⻏月聿
鄙;口⻏囗
鄚;大⺾⻏日
鄜;匕广⻏比鹿
鄞;二十口廾⻏革
鄠;二冖勹⻏雨
鄢;一勹⻏止⺣
鄣;十⻏日立音
鄥;⻏⺣鳥
鄧;丶丿丷口⻏豆
鄩;口寸工ヨ⻏
鄭;大酉丷⻏
鄮;丿ハ刀厶⻏目貝
鄯;一丷口⻏王羊
鄰;舛米⻏夕
鄱;丿⻏田米
鄲;丨口十田⻏
鄴;一丨丶丿丷⻏王羊
鄶;一丨𠆢丷口⻏日曰
鄷;丨丷口⻏日豆
鄹;丨丶丿又⻏耳
鄺;ハ广⻏田黄
鄼;一ハ大⻏目貝
鄽;儿ハ土广⻏里
酃;二冖口⻏雨
酆;丷口山⻏豆非
酇;丿儿ハ土⻏目貝
酈;一丶冂匕广⻏比鹿
酉;酉
酊;酉亅一
酋;酉丷
酌;酉丶勹
配;酉已
酎;寸酉
酏;丨乙匕也酉
酒;⺡酉
酓;丶𠆢酉
酔;九十酉
酖;酉尢
酗;丶丿凵酉
酘;酉殳几又
酙;斗酉
酚;ハ刀酉
酛;二儿元酉
酡;匕宀酉
酢;丨丿酉
酣;甘酉
酤;十口酉
酥;禾酉
酧;宀寸酉
酩;口酉夕
酪;口酉夂
酬;丨川酉丶
酭;一丿月酉
酲;王口酉
酳;月酉幺
酴;二𠆢小酉
酵;子酉⺹
酷;丿口土酉
酸;酉儿厶夂
酹;寸爪酉
酺;丶十月酉
酻;子爪酉
醁;ヨ水酉
醂;酉木
醃;乙大日酉奄
醅;口立酉
醆;戈酉
醇;口子酉亠
醉;十人酉亠
醊;又酉
醋;丨一酉二日
醍;酉日疋
醎;一丿厂口戈酉
醐;月口十酉
醑;月疋酉
醒;生酉日
醓;丿乙冖尢皿酉
醔;丿木火禾酉
醕;亠口日酉
醗;二酉儿癶
醘;厶土皿酉
醜;鬼田酉儿匕
醞;人口皿酉
醡;一丨丿亠ハ酉
醢;丿一口皿酉
醤;寸爪酉爿
醦;𠆢厶彡酉
醨;丶丿亠冂凵厶禸酉
醪;羽酉𠆢冫彡
醫;酉矢匚殳几又
醬;丶夕寸爿酉
醭;一丨丶丿二丷大酉
醮;⺣酉隹
醯;皿川酉亠厶
醰;一冂凵十日西酉
醱;丶丿几又弓殳酉
醲;丨厂日衣辰酉
醳;一丷十土干⺲酉
醴;丨一口豆酉日丷
醵;酉卜匕厂虍豕
醶;一人𠆢口酉
醸;衣酉ハ亠
醺;丨丿酉⺣
醻;一口士寸工酉
醼;一丨凵匕口⺣酉
醽;二冖口酉雨
醿;小幺广木糸酉麻
釀;丨衣一口酉亠
釁;臼刀酉ハ冂
釂;一丨厶寸日爪⺲酉
釃;一丶冂匕广比酉鹿
釄;儿广木酉非
釅;厂口工攵耳酉
釆;釆米
采;爪木
釈;釆米尸丶
釉;丨日釆米田
釋;十辛⺲釆米立亠
里;里
重;丨丿一日里
野;矛里亅
量;一日里
釐;丨二ハ木里厂攵
金;金
釓;乙金
釔;乙金
釖;金刀
釗;⺉金
釘;一金亅
釙;卜金
釚;九金
釛;金力
釜;一干丷父王丶丿金
針;金十
釞;入金
釟;金丷ハ
釡;金丷ハ
釣;金丶勹
釤;彡金
釥;小金
釦;金口
釧;金川
釩;丶几金
釪;亅二金
釬;一十干金
釭;工金
釮;一丿亅金
釯;亠亡金
釰;丿刀金
釱;大金
釵;金又丶
釶;也金匕
釷;土金
釹;女金
釻;丶九金
釼;金刀丶
釽;爪金
釿;斤金
鈀;乙已巴金
鈁;方金
鈄;斗金
鈅;月金
鈆;ハ厶金
鈇;一大金
鈉;人入冂金
鈊;心金
鈌;人ユ金
鈍;金屯
鈎;金勹厶
鈐;一丶𠆢金
鈑;金又厂
鈒;丶乃及金
鈓;丿士金
鈔;丿金小
鈕;丨一金
鈖;ハ刀金
鈗;儿厶金
鈘;十又支金
鈜;一丿厶金
鈝;牛金
鈞;金冫勹
鈣;一亅止金
鈤;日曰金
鈥;火金
鈦;丶大金
鈨;二儿元金
鈩;金戸一尸
鈬;金尸
鈮;匕尸金
鈯;丨凵金
鈰;丨亠冂巾金
鈳;一亅口金
鈴;金𠆢卩一
鈵;一人冂金
鈶;厶口金
鈷;金口十
鈸;又弋金
鈹;丿十又支金
鈺;丶王金
鈼;一丨丿金
鈾;丨日田金
鈿;金田
鉀;丨日田金
鉂;丶丿口金
鉃;一丿大矢金
鉄;丿金二矢大
鉅;金巨
鉆;卜口金
鉇;一丨丿乙匕也金
鉈;金匕宀
鉉;金玄亠幺
鉊;刀口金
鉋;金勹已
鉍;丿心金
鉎;生金
鉏;一目金
鉐;金口石
鉑;日白金
鉖;冫夂金
鉗;甘金
鉘;廾弓金
鉙;ハ口金
鉚;丿金卩
鉛;金口丷ハ
鉜;⺅寸金
鉝;立金
鉞;丨金戈
鉠;口大金
鉡;丨二ハ丷金
鉢;一金木
鉤;金口勹
鉥;丶丿乙十木金
鉦;一金止
鉧;毋母金
鉨;勹小金
鉩;𠆢小金
鉮;丨日田金
鉯;丶人金
鉰;一亅口金
鉱;金厶广
鉵;虫金
鉶;一⺉廾金
鉷;丨二ハ金
鉸;亠父金
鉹;夕金
鉻;口夂金
鉼;一丷廾金
鉽;工弋金
鉾;牛金厶
鉿;一𠆢口金
銀;金艮
銃;金亠儿厶
銅;金口冂一
銈;土金
銉;丨二ヨ聿金
銊;一丿厂戈金
銍;一厶土至金
銎;丶几工金
銑;丿金土儿
銒;一十干金
銓;王金𠆢
銕;弓金人大
銖;丨丿牛金二丷木ハ
銗;一丿厂口金
銘;金口夕
銙;一勹大金
銚;金儿冫
銛;金口舌
銜;金行彳
銟;丨冂山巾金
銠;丿匕土⺹金
銤;米金
銥;亠衣金
銧;一儿⺌金
銨;女宀金
銫;乙勹已巴色金
銭;丿金毛丶
銯;小幺糸金
銲;一十干日金
銶;一丶水金
銷;金月⺌
銸;乙耳金
銹;丿禾金乃
銺;士爿金
銻;丨丿丷弓金
銼;人土金
銽;口氏金
銿;マ用金
鋀;丷口豆金
鋁;口金
鋂;一丿毋母金
鋃;丶艮金
鋅;十立辛金
鋆;二冫勹土金
鋇;ハ目貝金
鋈;丿大⺡金
鋋;丿廴止金
鋌;丿土士廴王金
鋍;冖十子金
鋎;二儿宀元金
鋏;金人大𠆢
鋐;一丿厶宀金
鋒;丨一金夂
鋓;丿⺉木禾金
鋕;士心金
鋗;口月金
鋘;一口大金
鋙;一二口五金
鋜;口足金
鋝;寸爪金
鋟;冖又ヨ金
鋠;亠厂衣辰金
鋡;丶𠆢口金
鋣;⻏牙金
鋤;金目力
鋥;口王金
鋧;儿目見金
鋨;戈手金
鋩;亡金⺾
鋪;金十用丶
鋬;厂又⺘金
鋭;金口丷𠆢儿
鋮;丿亅厂戈金
鋰;里金
鋲;斤金丷ハ
鋳;丿亠土金寸
鋷;又耳金
鋸;金口十尸
鋹;金長
鋺;金夕卩宀
鋻;匚又臣金
鋼;金丷冂山岡
鋿;冂口⺌金
錀;一丨亅𠆢冂廾冊金
錂;儿ハ土夂金
錄;ヨ彑水金
錆;金月青土二亠
錈;一丶丿二丷大已金
錍;丿十日白金
錏;丨一金二
錐;金隹
錑;一丶大尸戸犬金
錔;日水金
錕;匕日比金
錘;丨丿一金
錙;金巛田
錚;ヨ金爪亅
錜;丶𠆢心金
錝;二宀小示金
錞;亠口子金
錟;火金
錠;金疋宀
錡;一亅口大金
錢;金戈
錣;金又
錤;丨二ハ甘金
錥;亠厶月金
錦;巾金白
錧;丨口宀金
錨;金田⺾
錩;日金
錪;丨ハ日金
錫;金日勿
錬;丨一金日木田丷ハ
錮;金口十囗
錯;丨金日
録;ヨ金水隶
錳;子皿金
錴;ハ土金
錵;⺅金𠆢匕⺾
錶;一丨二衣金
錷;乙車金
錺;金方⺾
錻;金止戈
鍄;金口小亠
鍇;匕日比白金
鍈;口大⺾金
鍉;日疋金
鍊;丷口木金
鍋;金口冂
鍍;金又广
鍐;丶丿ハ凵夂金
鍑;一丿夂日金
鍒;マ木矛金
鍔;金口二勹
鍕;冖車金
鍖;甘金儿匚
鍗;丨亠丷冂冖巾立金
鍘;ハ⺉目貝金
鍚;一丿勹日勿金
鍛;金殳几又
鍜;丨金又
鍞;ハ卜目貝金
鍠;王金白
鍤;丿十臼金
鍥;一丨二刀大金
鍧;勹言金
鍩;一丿口⺾金
鍪;マ攵矛金
鍫;丿木火禾金
鍬;火禾金
鍭;一丿⺅ユ大矢金
鍮;⺉金月𠆢
鍯;丶丿勹心勿金
鍰;丿二又爪金
鍱;一丨木世金
鍳;一丶丿匚臣金
鍴;山而金
鍵;金廴聿
鍶;心田金
鍺;丿土⺹日曰金
鍼;丿金口戈
鍽;一丨丶亅冂尸廾戸冊金
鍾;丨金日里
鍿;一巛田金
鎀;丨⺅夂彡金
鎁;⻏耳金
鎂;丷大王金
鎈;丿丷工王羊金
鎊;亠丷冖方立金
鎋;一丨丿二口宀金
鎌;金王丶丿ヨ丷ハ
鎍;冖十小幺糸金
鎏;丨丿乙亠厶川⺡金
鎒;亠厂寸衣辰金
鎔;金穴口谷丷𠆢宀ハ
鎕;丨口广ヨ金
鎖;貝目ハ金⺌
鎗;丿金口𠆢
鎘;儿冂口金鬲
鎚;丨金口⻌
鎛;丶十寸日金
鎞;丶丿匕口比金
鎡;一丷幺金
鎣;冖火金
鎤;一儿⺌日金
鎦;丿刀厶田金
鎧;金口山豆丷
鎨;十金隹
鎩;一几又小殳金
鎫;丶丿ハ冂夂金
鎬;金口高亠冂
鎭;金丷目匕一丨ハ
鎮;金十丷目一ハ
鎰;金皿丷ハ
鎴;心目自金
鎵;宀豕金
鎶;一亅口金
鎹;金⻌人大二ハ
鎺;一⺭目金
鏁;巛日木田金
鏃;金方矢
鏄;一十厶寸日虫金
鏅;丨⺅夂月金
鏆;ハ十口田目貝金
鏇;一丿方疋金
鏈;金⻌車
鏉;人勹口木欠金
鏊;一丨丿亅二土士攵方金
鏋;一丨入冂凵金
鏌;大⺾日金
鏍;小幺田糸金
鏐;羽金𠆢冫彡
鏑;金口十丷立亠冂啇
鏓;丿口夂心金
鏖;金鹿比广
鏗;金臣土又
鏘;金寸夕爿
鏙;山金隹
鏜;冖口土⺌金
鏝;金日⺲又
鏞;丨二冂广ヨ月聿金
鏟;亠丷厂生立金
鏡;音金日立儿
鏢;二小示西金
鏤;丨一金口女
鏥;⺅金白𠆢宀
鏦;人彳止金
鏧;丨几又士尸殳金
鏨;斤金車
鏱;十日立金
鏵;一丨二⺾金
鏷;一丨丶丿二人丷大王金
鏸;一十厶心日虫金
鏹;厶口弓虫金
鏺;丶丿几又弓殳金
鏻;夕米舛金
鏽;丨ヨ爿片金
鐁;丨二ハ斤甘金
鐂;一丨田金
鐃;金土儿
鐄;ハ田金黄
鐇;金田釆米
鐈;丿冂口大金
鐉;丨二ハ已金
鐍;儿ハ冂マ口矛金
鐎;⺣金隹
鐏;ハ丷寸酉金
鐐;金小大日丷亠ハ
鐓;金子亠囗攵
鐔;金十西日曰
鐕;无日曰金
鐖;人幺戈金
鐗;月金門
鐘;金里立
鐙;金口豆丷癶
鐚;金心二
鐟;一大日曰金
鐡;金口土豆丷戈
鐫;金隹
鐮;一丨丶丿丷广ヨ金
鐯;丿土⺾⺹日曰金
鐱;一人𠆢口金
鐲;勹⺲虫金
鐳;二冖田金雨
鐴;十口尸立辛金
鐵;王金口土戈
鐶;衣金口⺲
鐸;金十辛⺲立亠
鐺;金口⺌田冖
鐻;匕卜厂虍豕金
鐽;丷⻌土王羊金
鐿;心日立金音
鑁;金儿凵夂
鑃;冫羽金隹
鑄;金口工士寸
鑅;冖木火金
鑈;一丨ハ冂爻金
鑊;又⺾金隹
鑌;一丿ハ宀小目貝金
鑑;金皿臣二
鑒;金臣二⺲
鑓;丨一金口⻌
鑕;ハ斤目貝金
鑙;丶丿匕尢日曰木尤禾金
鑚;貝目ハ金人大二儿
鑛;黄金田ハ广
鑜;ハ冖口⺌目貝金
鑞;臼金巛鼠囗
鑟;ハ士目⺲貝金
鑠;金白木冫
鑡;一人凵止金
鑢;金心田卜匕厂虍
鑣;匕广比⺣金鹿
鑨;一乙月立金竜
鑪;金皿田卜匕厂虍
鑫;金
鑭;丷口木金門
鑮;丶二冂十寸⺡⺾金
鑯;一人戈金非
鑰;丨一金口𠆢冂冊龠
鑱;乙勹匕口已比巴色金
鑲;一丨亠口衣金
鑵;金口十⺾隹
鑷;金耳
鑼;金糸幺小⺲隹
鑽;丿貝目ハ金土儿
鑾;金言糸幺小
鑿;臼干金丷殳几又
钁;金又目隹
钃;丨丶丿冫勹尸⺲虫金
钄;丷口⺾木金門
長;長
镸;一丨厶
镹;一丨丿入厶久
镾;一丨ハ冂厶爻
門;門
閂;一門
閃;人門
閄;人門
閆;一二門
閇;卜門
閈;一十干門
閉;丿一門亅
閊;山門
開;一門廾
閌;亠几門
閍;方門
閎;一丿厶門
閏;王門
閑;木門
間;日門
閔;文門
閖;水門
閘;丨日門田
閙;巾門亠
閝;丶𠆢マ門
閞;厶廾門
閟;丿心門
閠;王門丶
閡;丿亠幺玄門
関;人大二ハ門丷
閣;口門夂
閤;口門𠆢
閥;⺅門戈
閦;人𠆢門
閧;丨一二ハ門
閨;土門
閩;虫門
閫;口木門
閬;丶艮門
閭;口門
閲;口丷門儿
閴;ハ目貝門
閶;日門
閹;乙大日門奄
閺;文日門
閻;臼門勹
閼;方門𠆢冫
閽;日氏門
閾;口門戈
閿;冖又爪門
闃;犬目門
闆;口門
闇;音日門立
闈;口門韋
闉;土西門
闊;口⺡舌門
闋;一丶丿大門
闌;丨日ハ木門
闍;日門⺹
闐;一ハ匕十目貝門
闑;木目自門
闒;丿二冂冫日羽門
闓;丷口山豆門
闔;皿土門厶
闕;欠丷門屮
闖;馬門
闘;口寸豆丷門
闙;丶口尸攵門
闚;一儿大目見門
關;門幺
闝;ハ攵目貝門
闞;一攵耳門
闟;一𠆢冫口羽門
闠;一丨ハ口目虫貝門
闡;口十田門
闢;口十辛門立尸
闤;一口⺲衣門
闥;王⻌十辛土門羊立亠
闦;丨丷口日豆門
阜;⻖十
阝;⻖
阞;力⻖
阡;丿十⻖
阢;一儿廾⻖
阤;丨乙匕⻖也
阥;⻖水
阦;⻖火
阨;卩厂⻖
阪;又厂⻖
阬;亠几⻖
阮;二儿⻖元
阯;止⻖
阱;一廾⻖
防;方⻖
阳;⻖日
阴;⻖月
阷;一⻖止
阸;一丶乙尸⻖戸
阹;厶土⻖
阺;丶⻖氏
阻;一目⻖
阼;一丨丿⻖
阽;卜口⻖
阿;一口亅⻖
陀;匕宀⻖
陁;一丨丿乙匕⻖也
陂;皮又⻖
附;⺅寸⻖
陋;人冂⻖
陌;白⻖
降;夂⻖十
陏;丿一月⻖
限;艮⻖
陒;勹厂已⻖
陔;丿亠幺⻖玄
陖;ハ厶夂⻖
陗;⺌⻖月
陘;一巛工⻖
陛;土比⻖
陜;人大⻖
陝;人大入⻖
陞;土廾⻖丿
陟;丿止小⻖
陡;土⻖走
院;二儿宀⻖元
陣;車⻖
除;禾𠆢⻖
陥;丨日勹⻖
陦;丿寸二⻖土
陪;口立⻖
陬;耳又⻖
陮;⻖隹
陰;二𠆢厶⻖
陲;丨丿一⻖
陳;丨一田日木⻖
陴;丿十⻖日田
陵;土儿夂⻖
陶;缶勹⻖
陷;臼⻖勹
陸;土儿⻖
険;口人𠆢⻖
陻;土⻖西
陼;丿土⻖⺹日曰
陽;一日勿⻖
陾;大⻖而
陿;人匚⻖木
隁;匚女⻖日
隂;一丨𠆢厶⻖
隃;一丶𠆢冂⺉⻖月
隄;⻖日疋
隅;田日冂厶禸⻖
隆;生夂⻖
隈;衣田⻖
隉;土工⻖臼
隊;丷豕⻖
隋;丿一月工⻖
隍;王白⻖
階;白比⻖
随;丿一月⻌⻖
隑;丷口山⻖豆
隔;一口儿冂⻖鬲
隕;貝目ハ口⻖
隖;⻖⺣鳥
隗;鬼田儿匕⻖
隘;皿丷⻖
隙;小日⻖
隚;冖口土⺌⻖
際;丿示二小癶⻖
障;音十日立⻖
隝;⻖⺣鳥
隟;巛⻖日木田
隠;丿ヨ⺌心⻖
隣;舛米夕⻖
隤;一丨ハ口⻖目虫貝
隥;丶丿丷口⻖豆
隦;十口尸⻖立辛
隧;⻌丷豕⻖
隨;丿一月工⻖⻌
隩;丿冂大⻖米
險;口人𠆢⻖
隮;亠刀⻖氏齊
隯;一口士寸工⻖
隰;日幺⺣⻖
隱;ヨ工心爪⻖
隲;丿小馬⻖
隳;一丿𠆢工⻖月⺣
隴;月立⻖
隶;ヨ水隶
隷;ヨ士小水二隶示二小
隸;ヨ示二小水木亅隶
隹;隹
隺;冖隹
隻;又隹
隼;十隹
隽;乃隹
雀;丿小隹
雁;⺅厂隹
雄;丿一厶隹
雅;牙隹
集;木隹
雇;戸隹一尸
雉;矢隹
雊;勹口隹
雋;亅冂凵隹
雌;止匕隹
雍;亠幺隹
雎;目隹
雑;木隹九
雒;口夂隹
雕;口士冂隹
雖;口虫隹
雘;一丨丶冂又⺾隹
雙;又隹
雚;口⺾隹
雛;勹屮隹
雜;人木亠隹
雝;乙口巛已巴隹
雞;大幺爪隹
雟;ハ冂口屮隹
離;亠凵禸隹
難;⺾隹大口亠
雨;雨
雩;二冖勹雨
雪;ヨ雨
雫;雨丶一丨
雯;二冖文雨
雰;雨刀ハ
雱;二冖方雨
雲;一雨二厶
零;雨𠆢卩一
雷;雨田
雹;雨勹已
雺;二冖マ矛雨
電;雨田乙
需;雨而
霂;二冖⺡木雨
霃;丿乙二冖尢⺡雨
霄;雨月⺌
霅;二冖言雨
霆;雨王廴
震;衣雨辰厂
霈;雨巾⺡亠
霉;一丿二冖毋母雨
霊;丨一雨二
霍;雨隹
霎;雨女立
霏;雨非
霑;雨口⺡卜
霓;雨臼儿
霔;亠土⺡雨
霖;雨木
霙;雨大冂⺾
霚;二冖マ攵矛雨
霛;二冖弓雨
霜;雨木目
霝;二冖口雨
霞;雨又
霡;丶二冖月水雨
霢;二冖厂月氏雨
霣;二ハ冖口目貝雨
霤;雨田刀厶
霧;雨矛力夂
霨;二冖寸小尸示雨
霪;雨王⺡爪
霰;丨一雨月二攵
霱;二儿ハ冂冖マ口矛雨
露;雨口足夂
霳;一二冖夂⻖生雨
霶;亠丷冖⺡方立雨
霸;雨革月
霹;雨口十辛立尸
霻;丨丷口日豆雨
霽;雨亠齊刀氏廾
霾;雨里豸
靁;二冖田雨
靂;雨止木厂
靃;二冖隹雨
靄;雨言日勹匕
靆;ヨ雨⻌水二厶隶
靇;乙日月立雨音
靈;雨口工人
靉;雨心爪二冖厶夂
靊;一丨二丷冖口山豆雨
靍;⺣隹雨鳥
靎;二冖⺣金雨鳥
靏;二冖⺣隹雨鳥
青;月青土二亠
靕;一丨二亠冂土月止青
靖;月青土二立亠
靗;一二亠儿土⺌月青
靘;二亠土月青
静;月青土亅亠勹ヨ
靚;二亠儿土月目見青
靛;二亠土宀月疋青
靜;丿ヨ月⺌青爪土二亅亠
非;非
靠;丿口土非
靡;非麻木广
面;面
靣;一丿口囗
靤;面勹已
靦;見面
靧;一丨ハ口目虫貝面
靨;犬日面目厂
革;革廾口十
靪;一亅十口廾革
靫;革又丶
靭;革刀丶
靮;一丶勹十口廾革
靱;革刀
靳;十口廾斤革
靴;⺅革匕
靶;乙十口已廾巴革
靷;丨十口廾弓革
靸;丶十乃口廾及革
靹;革人冂
靺;丨革口ハ木亠凵
靻;一十口廾目革
靼;革日
靽;丨二ハ丷十口廾革
靿;力十口幺廾革
鞀;刀十口廾革
鞁;革皮又
鞄;革勹已
鞅;革口人大冂凵
鞆;革人冂
鞉;丶丿儿冫十口廾革
鞋;革土
鞍;女宀革
鞏;革工丶几
鞐;革卜
鞕;一丶丿十口廾日革
鞖;十口女廾爪革
鞗;丨⺅十口夂廾革
鞘;革月⺌
鞙;十口廾月革
鞚;儿ハ十口宀工廾革
鞜;革水日
鞞;丿十口廾田革
鞟;亠十口子廾革
鞠;革米勹
鞢;一丨十口廾木世革
鞣;丨革口矛木凵マ
鞦;火禾革
鞨;革日勹匕
鞫;革言勹
鞬;丨二十口廴廾ヨ聿革
鞭;丿一⺅革日田
鞮;十口廾日疋革
鞱;十口廾爪臼革
鞲;一丨二冂十口廾月革
鞳;革口𠆢⺾
鞴;革用厂⺾
鞵;十口大幺廾爪革
鞶;一丨丶冂几十又口廾殳舟革
鞸;一丨二十口廾日田革
鞹;亠十口子廾⻏革
鞺;冖十口土⺌廾革
鞼;一丨ハ十口廾目虫貝革
鞾;一丨二十口廾⺾革
鞿;人十口幺廾戈革
韁;一十口廾田革
韃;王革⻌土丷羊
韄;十又口廾⺾隹革
韅;十口幺廾日曰⺣革
韆;革⻌西ハ已
韇;ハ十口士廾目⺲貝革
韈;丿革⺲戈⺾
韉;一丨勹十口广廾⺾⺣革
韊;丷十口廾⺾木門革
韋;韋口
韌;丿刀口韋
韍;又口弋韋
韎;一口木韋
韐;一𠆢口韋
韑;一儿口⺌韋
韓;十日韋口
韔;口長韋
韗;冖口車韋
韘;一丨口木世韋
韙;口日疋韋
韛;丨丿二厂口⺾用韋
韜;臼爪韋口
韝;一丨二冂口月韋
韞;人口日皿韋
韠;一丨二口日田韋
韡;一丨二口⺾韋
韤;人口⺾戈⺲韋
韭;韭
韮;韭⺾
韯;一十土戈非
韱;一人戈非
韲;亠齊韭刀氏廾
音;音日立
韴;一丨冂巾日立音
韵;音日立冫勹
韶;音口刀日立
韷;丨凵日立音
韸;一丨二夂日立音
韺;口大⺾日立音
韻;音貝目ハ口日立
響;音艮日⻏立幺
頁;貝目ハ頁
頂;一貝目ハ頁亅
頃;貝目ハ頁匕
頄;ハ九目貝頁
項;貝目ハ工頁
順;貝目ハ川頁
頇;一ハ十干目貝頁
須;貝目ハ頁彡
頊;ハ王目貝頁
頌;貝目ハ頁厶
頍;ハ十又支目貝頁
頎;ハ斤目貝頁
頏;貝目ハ頁亠儿
預;貝目ハ欠マ一亅頁
頑;貝目ハ頁儿二元
頒;貝目刀ハ頁
頓;貝目ハ頁屯
頔;丨ハ日田目貝頁
頖;丨丿二ハ丷目貝頁
頗;貝目ハ皮頁又
領;貝目ハ頁𠆢卩
頙;一ハ止目貝頁
頚;貝目ハ土頁又
頜;一𠆢ハ口目貝頁
頞;ハ女宀目貝頁
頠;ハ勹卩厂目貝頁
頡;貝目ハ口士頁
頣;ハ匚目臣貝頁
頤;貝目ハ臣頁匚
頥;丨ハ匚目臣貝頁
頦;丿亠ハ幺玄目貝頁
頫;丶丿儿ハ冫目貝頁
頬;貝目ハ人頁二丷
頭;貝目ハ口豆丷頁
頮;ハ廾水目貝頁
頯;丶ハ夕廾目貝頁
頰;人ハ木目貝頁
頲;丿ハ士廴王目貝頁
頳;ハ土目貝赤頁
頴;貝目ハ示二小頁匕
頵;丿ハ口ヨ目貝頁
頷;貝目ハ口頁𠆢
頸;貝目ハ工巛頁
頻;丿貝目ハ止小頁
頼;丨貝目口ハ頁木
頽;禾貝目ハ頁几
頾;ハ匕彡止目貝頁
顄;ハ凵水目貝頁
顆;丨貝目ハ田日頁木
顇;亠人ハ十目貝頁
顊;丨丿ハ十口目貝頁
顋;貝目ハ心田頁
題;貝目ハ日疋頁
額;貝目ハ口頁夂宀
顎;貝目ハ口頁二勹
顏;貝目ハ文頁厂彡
顑;一丿ハ厂口戈目貝頁
顒;丨ハ冂厶日田目禸貝頁
顓;ハ山目而貝頁
顔;貝目ハ頁立亠厂彡
顕;貝目ハ日頁
顖;丶丿ハ口心目貝頁
顗;ハ丷口山目豆貝頁
願;貝目ハ小白頁厂
顙;ハ又木目貝頁
顚;ハ匕目貝頁
顛;貝十ハ頁目
類;貝目ハ大米頁
顢;一丨入ハ冂凵目貝頁
顣;一丿ハ卜厂小戈目貝頁
顥;亠ハ口小日目貝頁
顦;ハ⺣目貝隹頁
顧;貝目ハ戸頁隹一尸
顪;一丿ハ厂小戈止目貝頁
顫;貝目ハ口日頁亠囗
顬;二ハ冖目而貝雨頁
顯;貝目ハ日頁幺⺣
顰;丿貝目ハ止十小田頁
顱;貝目ハ皿田頁卜匕厂虍
顳;貝目ハ耳頁
顴;貝目ハ口十頁⺾隹
風;風冂虫丿
颪;風卜
颫;一丿冂大虫風
颭;丿冂卜口虫風
颮;丿冂勹已虫風
颯;風立
颰;丶丿冂又弋虫風
颱;口風厶
颴;一丿冂疋虫風
颶;ハ風目
颷;丿冂火虫風
颸;丿冂心田虫風
颺;一丿冂勹日勿虫風
颻;丶丿冂凵夕山爪缶虫風
颼;丨丿冂又臼虫風
颿;丿冂虫風馬
飂;丿𠆢冂冫彡羽虫風
飃;示二小西風
飄;示二小西風
飅;一丨丿冂口田虫風
飆;犬風
飇;丶丿冂大犬虫風
飈;丿冂火虫風
飋;丿冂心王虫風
飌;丿冂口⺾虫隹風
飛;飛
飜;田釆飛米
食;食
飠;食
飡;一丶𠆢冫艮
飢;食几
飣;一丶亅𠆢厶日
飥;一丶丿乙𠆢厶日
飦;一丶𠆢十厶干日曰
飧;一丶𠆢夕艮
飩;食屯
飪;一丶丿𠆢卜士日
飫;丿食大
飭;食力
飮;丨欠𠆢食
飯;食又厂
飰;一丨亠卜食
飱;一歹食
飲;欠食
飳;一丶亠𠆢厶土日王
飴;口食厶
飶;丶丿𠆢厶心日曰
飼;口艮亅𠆢食
飽;食勹已
飾;丿巾食
餂;一丶𠆢厶口日舌
餃;食父亠
餅;丨丿一食二丷廾
餇;一丶𠆢冂厶口日曰
餈;一丶人𠆢冫勹欠艮
餉;口食冂
養;王食丷羊
餌;艮耳食
餐;食又夕
餑;一丶𠆢冖十厶子日
餒;女食爪
餓;食亅戈手
餔;十食用丶
餕;一丶𠆢儿ハ厶夂日
餖;一丶𠆢丷厶口日豆
餗;一丶𠆢厶口日木
